"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif471",34.4532,27.9845,"","PRESENT"
"gbif472",33.9368,26.7763,"","PRESENT"
"gbif473",34.9115,29.4977,"","PRESENT"
"gbif474",33.8116,27.2579,"","PRESENT"
"gbif475",33.9841,27.1631,"","PRESENT"
"gbif476",33.9933,26.8102,"","PRESENT"
"gbif477",34.5392,28.5735,"","PRESENT"
"gbif478",34.5208,28.5548,"","PRESENT"
"gbif479",34.5238,28.5574,"","PRESENT"
"gbif480",34.2647,27.8238,"","PRESENT"
"gbif481",33.8633,27.0883,"","PRESENT"
"gbif482",33.8633,27.0883,"","PRESENT"
"gbif483",33.9006,27.0586,"","PRESENT"
"gbif484",33.8322,27.1219,"","PRESENT"
"gbif485",43.1432,11.699183,"","PRESENT"
"gbif486",34.954661,29.549861,"","PRESENT"
"gbif487",34.95,29.5,"","PRESENT"
"gbif488",34.633,28.967,"","PRESENT"
"gbif489",33.783,27.283,"","PRESENT"
"gbif490",34.95,29.55,"","PRESENT"
"gbif491",42.12525,16.903306,"","PRESENT"
"gbif492",42.104972,16.915806,"","PRESENT"
"gbif495",42.3834,15.52075,"","PRESENT"
"gbif496",34.9775,29.456,"","PRESENT"
"gbif497",34.9775,29.456,"","PRESENT"
"gbif498",35,29.516667,"","PRESENT"
"gbif499",35,29.516667,"","PRESENT"
"gbif500",35,29.516667,"","PRESENT"
"gbif501",34.95,29.55,"","PRESENT"
"gbif502",33.833333,27.233333,"","PRESENT"
"gbif503",41.9,16.8,"","PRESENT"
"gbif504",41.9,16.8,"","PRESENT"
"gbif505",34.95,29.55,"","PRESENT"
