link	run_acc_sra	sampid_assigned_for_bioinf	locality	read_type_sra
PRJNA473221_Bombus-bifarius	SRR7222292	sample124	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222293	sample125	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222294	sample126	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222295	sample127	California5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222296	sample128	California6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222300	sample129	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222305	sample130	Washington12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222306	sample131	Washington12	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222307	sample132	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222308	sample133	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222309	sample134	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222310	sample135	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222311	sample136	Washington3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222312	sample137	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222313	sample138	Washington3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222314	sample139	Washington3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222315	sample140	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222316	sample141	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222317	sample142	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222376	sample143	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222377	sample144	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222378	sample145	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222379	sample146	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222380	sample147	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222381	sample148	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222382	sample149	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222383	sample150	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222384	sample151	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222385	sample152	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222386	sample153	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222388	sample154	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222389	sample155	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222390	sample156	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222391	sample157	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222392	sample158	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222393	sample159	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222394	sample160	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222395	sample161	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222396	sample162	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222397	sample163	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222398	sample164	Washington10	SINGLE
