link	run_acc_sra	sampid_assigned_for_bioinf	locality	read_type_sra
PRJNA473221_Bombus-bifarius	SRR7222887	sample348	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222916	sample349	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222917	sample350	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222920	sample351	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222921	sample352	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222922	sample353	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222923	sample354	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222924	sample355	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222925	sample356	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222926	sample357	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222927	sample358	Washington5	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222941	sample359	California7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222942	sample360	California7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222943	sample361	California7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222944	sample362	California7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222945	sample363	California7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222946	sample364	California7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222947	sample365	California7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222948	sample366	California6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222950	sample367	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222951	sample368	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222970	sample369	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222971	sample370	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222976	sample371	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222977	sample372	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222978	sample373	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222979	sample374	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222980	sample375	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222981	sample376	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222982	sample377	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222983	sample378	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7223000	sample379	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7223001	sample380	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7223002	sample381	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7223003	sample382	Washington2	SINGLE
