link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA473221_Bombus-vosnesenskii	SRR7222999	JDL327-CA04-2012--Bv	dummy	null	null	SINGLE	979193	979193
PRJNA473221_Bombus-vosnesenskii	SRR7223004	JDL145-OR05-2012--Bv	dummy	null	null	SINGLE	1912559	1912559
PRJNA473221_Bombus-vosnesenskii	SRR7223005	JDL147-OR05-2012--Bv	dummy	null	null	SINGLE	1651563	1651563
PRJNA473221_Bombus-vosnesenskii	SRR7223006	JDL148-OR05-2012--Bv	dummy	null	null	SINGLE	1273102	1273102
PRJNA473221_Bombus-vosnesenskii	SRR7223007	JDL149-OR05-2012--Bv	dummy	null	null	SINGLE	3080228	3080228
PRJNA473221_Bombus-vosnesenskii	SRR7223008	JDL153-OR05-2012--Bv	dummy	null	null	SINGLE	1216124	1216124
PRJNA473221_Bombus-vosnesenskii	SRR7223009	JDL212-OR09-2012-D-Bv	dummy	null	null	SINGLE	1840202	1840202
PRJNA473221_Bombus-vosnesenskii	SRR7223010	JDL210-OR08-2012-D-Bv	dummy	null	null	SINGLE	1693044	1693044
PRJNA473221_Bombus-vosnesenskii	SRR7223011	JDL481-CA03-2013-D-Bv	dummy	null	null	SINGLE	1923706	1923706
PRJNA473221_Bombus-vosnesenskii	SRR7223012	JDL271-CA01-2012-D-Bv	dummy	null	null	SINGLE	1227384	1227384
PRJNA473221_Bombus-vosnesenskii	SRR7223013	JDL789-WA03-2014--Bv	dummy	null	null	SINGLE	1905875	1905875
