 tsk_325 tsk_3368 tsk_3098 tsk_1167 tsk_126 tsk_2381 tsk_375 tsk_2971 tsk_641 tsk_3652 tsk_532 tsk_1926 tsk_395 tsk_2097 tsk_671 tsk_2857 tsk_1381 tsk_2599 tsk_3567 tsk_1655 tsk_1435 tsk_2987 tsk_3042 tsk_1800 tsk_313 tsk_3312 tsk_1517 tsk_2427 tsk_1440 tsk_1891 tsk_3469 tsk_3243 tsk_3948 tsk_3896 tsk_3965 tsk_2939 tsk_1033 tsk_2000 tsk_756 tsk_848 tsk_2298 tsk_1838 tsk_1061 tsk_2808 tsk_1399 tsk_661 tsk_770 tsk_2260 tsk_1342 tsk_2911 tsk_45 tsk_249 tsk_3314 tsk_3379 tsk_2638 tsk_2174 tsk_1398 tsk_2007 tsk_3534 tsk_560 tsk_2021 tsk_1548 tsk_1215 tsk_2252 tsk_1811 tsk_1382 tsk_2747 tsk_1090 tsk_3055 tsk_3845 tsk_2199 tsk_2961 tsk_3188 tsk_3676 tsk_1063 tsk_369 tsk_1688 tsk_1629 tsk_228 tsk_3069 tsk_2702 tsk_853 tsk_983 tsk_3701 tsk_450 tsk_398 tsk_2988 tsk_306 tsk_737 tsk_303 tsk_3451 tsk_2505 tsk_2235 tsk_2308 tsk_3710 tsk_227 tsk_3274 tsk_2585 tsk_758 tsk_2092
10 0.00144212 0.001321555 0.001360085 0.001300585 0.001375085 0.001274285 0.001264655 0.001324665 0.0013614 0.001261815 0.00134003 0.00126169 0.00131694 0.00132957 0.00136675 0.001393925 0.00134965 0.001350575 0.001383755 0.00135556 0.001326265 0.001452685 0.00138114 0.00139529 0.001377635 0.001381945 0.00135188 0.001415485 0.001265505 0.00134324 0.0012532 0.00139174 0.00134149 0.00132838 0.001238915 0.001373495 0.00128655 0.00139106 0.001401645 0.00133039 0.00139648 0.00131292 0.00134266 0.001319005 0.001306725 0.001388245 0.001342435 0.00129089 0.00140708 0.001283485 0.00142217 0.00134913 0.00129983 0.00135379 0.001418665 0.001358815 0.00133998 0.0013498 0.00127604 0.001375855 0.00143095 0.00138646 0.001385145 0.001322175 0.00134241 0.00142037 0.001427305 0.001358705 0.00123679 0.001388865 0.00129809 0.00140638 0.001325345 0.00125037 0.00131896 0.00137011 0.001409895 0.001440905 0.00136714 0.001382355 0.001326765 0.00109446 0.00132934 0.001210875 0.00130904 0.00134307 0.001378345 0.001278945 0.00138279 0.001368535 0.001398405 0.001331225 0.00135977 0.00118497 0.001359605 0.00137228 0.0014051 0.00136447 0.00146969 0.001235005
11 0.001339275 0.001343105 0.0013384 0.001316575 0.00133212 0.00132936 0.001411275 0.001415005 0.00136786 0.001288535 0.00126169 0.00140477 0.001222665 0.001304215 0.001351645 0.001354965 0.001314735 0.001293785 0.001377275 0.001357205 0.001257795 0.00143047 0.00129681 0.00138304 0.00137004 0.00139627 0.001262805 0.001420395 0.001278285 0.00132316 0.001309775 0.00139343 0.00130133 0.001184205 0.001275815 0.00142506 0.001014025 0.001260275 0.001369365 0.001255955 0.00139335 0.001369575 0.001324855 0.001347845 0.00126338 0.00133267 0.001301305 0.001276485 0.001366715 0.00135514 0.00133118 0.001319645 0.001329355 0.00138682 0.0013873 0.001329015 0.00131007 0.001267255 0.001387095 0.001445115 0.001369375 0.00132588 0.001351125 0.00134391 0.001372185 0.001400665 0.00136093 0.001348615 0.00132501 0.00137958 0.00137827 0.001259625 0.00138328 0.00133017 0.00128806 0.001385705 0.00127644 0.00137954 0.0013673 0.001349095 0.001334825 0.001286205 0.001206685 0.001251125 0.00136821 0.001356355 0.00140681 0.00137519 0.00135251 0.00132604 0.00138612 0.00135106 0.00136272 0.001347265 0.00143357 0.0013965 0.00136458 0.001390765 0.001417545 0.00125467
12 0.001264995 0.00125496 0.001287495 0.001331055 0.00125571 0.00124516 0.00141351 0.00129486 0.001301145 0.00128847 0.00131694 0.001222665 0.00135747 0.001308995 0.001266665 0.00128476 0.001253825 0.001255145 0.001274185 0.00132282 0.001321935 0.001394535 0.001305265 0.00135533 0.001250305 0.001367815 0.001319535 0.001364965 0.00134458 0.00127458 0.001302725 0.00123978 0.001256255 0.001329395 0.0013512 0.001338465 0.00132598 0.001344735 0.001262245 0.0013142 0.00131295 0.00124268 0.001257815 0.00136004 0.001285055 0.001270325 0.001311005 0.001195775 0.001349395 0.001312205 0.00132455 0.001333905 0.001001245 0.00131972 0.001325995 0.001363525 0.001305425 0.001323365 0.001346265 0.00129749 0.00133241 0.001269295 0.00130278 0.001302295 0.00127841 0.001313505 0.001300045 0.00133148 0.00128714 0.00133139 0.0013189 0.001243705 0.00134805 0.00131936 0.001298245 0.001326765 0.001277805 0.001395 0.001338915 0.00126772 0.00127646 0.001248865 0.00117762 0.00134902 0.001348705 0.001362855 0.001356025 0.001340415 0.00125709 0.0013396 0.001372195 0.0013059 0.001312965 0.001364215 0.001362705 0.001366805 0.0013307 0.0012591 0.001337195 0.00125209
13 0.00129366 0.001291545 0.001358095 0.001250725 0.00125633 0.001374715 0.001380885 0.001300065 0.001368055 0.001223725 0.00132957 0.001304215 0.001308995 0.00133878 0.001202715 0.00124244 0.0012724 0.001363445 0.00141487 0.00130723 0.001298445 0.00130148 0.001306235 0.001331415 0.001289705 0.00119816 0.001250935 0.001296995 0.001361805 0.001321125 0.001342605 0.001323145 0.001285155 0.001322845 0.00134185 0.001295635 0.001347215 0.00124069 0.001323035 0.00130626 0.001306765 0.00126507 0.00133833 0.00136776 0.001217685 0.0012874 0.001328705 0.00127655 0.00126042 0.001309765 0.001341925 0.00135988 0.00117979 0.001221885 0.00125197 0.0012304 0.00128444 0.001379915 0.001283575 0.001314125 0.00131025 0.00135818 0.0013708 0.00127318 0.001238735 0.001380915 0.0013085 0.001367745 0.00128259 0.001294475 0.001276675 0.00132251 0.001265705 0.00129391 0.00116124 0.00133232 0.001304115 0.00136437 0.001384345 0.00130981 0.001312945 0.00133562 0.001170375 0.00112187 0.001315185 0.00135824 0.001369085 0.001334455 0.00127078 0.001290985 0.00133664 0.001227935 0.00125042 0.00144324 0.001369715 0.00134587 0.001360005 0.001395985 0.00136734 0.00130713
14 0.001343065 0.001327855 0.001369615 0.001422015 0.001326255 0.00128357 0.001431655 0.00140726 0.00128478 0.00137626 0.00136675 0.001351645 0.001266665 0.001202715 0.0013065 0.00133313 0.0013308 0.001383255 0.001361515 0.00135068 0.00134067 0.001349 0.00128513 0.00141948 0.00138347 0.001258005 0.001275825 0.001345895 0.001376105 0.001391025 0.001376775 0.0013652 0.00143401 0.00134883 0.001373115 0.001310915 0.001380565 0.00128501 0.00136793 0.00123169 0.00132956 0.001319225 0.00128657 0.00137963 0.00123458 0.00126918 0.001403075 0.00130372 0.00132787 0.00137386 0.001382955 0.00132785 0.00123607 0.0012294 0.00123097 0.00097828 0.00128304 0.001368425 0.001299625 0.00132452 0.00124019 0.0013482 0.001374735 0.00135037 0.00126578 0.001421435 0.001289445 0.00141192 0.00138291 0.00126876 0.001257355 0.00139736 0.00123925 0.00124571 0.00126761 0.00135111 0.00137435 0.001390685 0.001401765 0.00132508 0.001337755 0.001247985 0.00131827 0.001208345 0.00134353 0.00142052 0.00142185 0.001437105 0.00133581 0.00142511 0.001392965 0.001358875 0.001340115 0.00140758 0.0014351 0.001304175 0.001398905 0.00134862 0.00135965 0.00124155
15 0.00128391 0.001317955 0.001330525 0.00120128 0.001261555 0.001289245 0.001337405 0.001344695 0.00137786 0.001352635 0.001393925 0.001354965 0.00128476 0.00124244 0.00133313 0.00133834 0.00121057 0.00115086 0.001298875 0.001266715 0.00140621 0.00139718 0.001360335 0.001327205 0.001353355 0.0013523 0.00134958 0.00133891 0.001347305 0.00136182 0.001242255 0.001343845 0.001349285 0.001299875 0.00131281 0.00133188 0.00137548 0.00126431 0.001287725 0.001343235 0.00128769 0.00120227 0.001298605 0.00116924 0.001309885 0.001276315 0.001343605 0.001321115 0.001265755 0.00119181 0.00134462 0.001296915 0.00133957 0.00134601 0.00129579 0.001270965 0.00132525 0.001298895 0.00134382 0.00125463 0.001320315 0.00125922 0.00128302 0.001334465 0.00121334 0.001332965 0.00111279 0.00131013 0.001261015 0.00130002 0.001312545 0.001306575 0.001369925 0.00137808 0.001395495 0.001332165 0.00125997 0.001421125 0.00143465 0.00127357 0.001332795 0.00140034 0.00121064 0.00128581 0.00135685 0.00134861 0.00140536 0.001419695 0.001175185 0.001351015 0.0012788 0.00122427 0.0010032 0.001350545 0.001397355 0.001364855 0.001306 0.00136358 0.00130696 0.001264215
16 0.00135325 0.001332645 0.001291625 0.00127465 0.00129767 0.00133532 0.00132104 0.001358305 0.00139 0.00136595 0.00134965 0.001314735 0.001253825 0.0012724 0.0013308 0.00121057 0.00146249 0.001248795 0.00131119 0.00128925 0.001400395 0.00135097 0.001338325 0.001358545 0.001343105 0.00136524 0.00129175 0.001304505 0.00141823 0.001340075 0.001366075 0.00139976 0.001319175 0.001310745 0.00133866 0.001327465 0.001346915 0.00128508 0.001312365 0.0011798 0.001265965 0.001187315 0.001314775 0.00131438 0.001343375 0.001215335 0.001385785 0.001306425 0.001343875 0.00132587 0.001368565 0.001355255 0.00136448 0.001344565 0.00130685 0.00134691 0.00132625 0.00134295 0.00134782 0.00119711 0.00127984 0.001219585 0.0012669 0.001313085 0.00110594 0.00129077 0.0012275 0.001314895 0.001279745 0.001238765 0.00127767 0.001343205 0.001375095 0.0013532 0.001338075 0.00133844 0.00127526 0.001347135 0.00139169 0.001299515 0.0013788 0.001300315 0.00128045 0.00133684 0.001308305 0.001263505 0.00136052 0.001423245 0.001250045 0.001488505 0.00132202 0.001326635 0.00127689 0.00130871 0.001421585 0.001333555 0.00132123 0.001338275 0.00133186 0.00134939
17 0.001317355 0.00128916 0.0012305 0.00118692 0.001335235 0.00123982 0.00129773 0.001332675 0.001360545 0.001383465 0.001350575 0.001293785 0.001255145 0.001363445 0.001383255 0.00115086 0.001248795 0.00135557 0.001271775 0.001242895 0.00138698 0.00135183 0.00133816 0.00136402 0.00138559 0.001351875 0.001336845 0.001279435 0.00133042 0.00132177 0.001178435 0.0012508 0.0013968 0.00132646 0.001296055 0.001302765 0.001283785 0.00132587 0.001355715 0.001344595 0.00126641 0.00119685 0.001233135 0.001230715 0.001292235 0.001373265 0.001374695 0.0011895 0.001305125 0.00125106 0.00133227 0.001260285 0.00128078 0.001325335 0.001247285 0.00129504 0.001339425 0.001293725 0.00134413 0.001335525 0.001358605 0.001292795 0.001311545 0.00131894 0.001265105 0.0012735 0.0013134 0.0013177 0.00129668 0.00129878 0.00132948 0.001250345 0.00139788 0.001257735 0.001373195 0.00129607 0.00124191 0.00144967 0.001398025 0.00134239 0.001251035 0.00122539 0.0012931 0.00136466 0.00138384 0.001367395 0.001379815 0.001273495 0.00109819 0.00144709 0.00129344 0.00124028 0.00120868 0.00136581 0.001387395 0.001333145 0.00130947 0.00127027 0.001275425 0.0012552
18 0.001389085 0.00135676 0.00128426 0.00134649 0.00136246 0.00123635 0.001407095 0.001279095 0.00131331 0.001303895 0.001383755 0.001377275 0.001274185 0.00141487 0.001361515 0.001298875 0.00131119 0.001271775 0.00131859 0.001308605 0.001407915 0.001332855 0.001443865 0.00129961 0.001364965 0.001205985 0.001305515 0.001371515 0.001345025 0.001395055 0.00140155 0.001281855 0.001328325 0.00143126 0.001389825 0.001370605 0.001338295 0.001393885 0.00134111 0.001374145 0.00137288 0.001327345 0.001336935 0.00136193 0.001332595 0.001290355 0.001315305 0.001384305 0.0013022 0.001374695 0.001353835 0.00139522 0.00125811 0.00127659 0.00129364 0.001359395 0.00129449 0.001332105 0.001381415 0.00136131 0.0013572 0.001291745 0.001340005 0.00134295 0.00126273 0.001253725 0.00129654 0.001418695 0.0013187 0.00131748 0.00140954 0.00136097 0.001379705 0.00124437 0.001252365 0.0013695 0.001305565 0.00130072 0.00140996 0.001313235 0.00132745 0.001341495 0.0013413 0.001309915 0.00139036 0.00138044 0.00141139 0.00133667 0.001241865 0.001350485 0.00132917 0.00128757 0.00132586 0.00102961 0.00130927 0.00134583 0.00139752 0.001308495 0.001357285 0.001335985
19 0.001395325 0.001373015 0.001308555 0.001241935 0.001302995 0.001278985 0.00139396 0.001333525 0.001366325 0.0013515 0.00135556 0.001357205 0.00132282 0.00130723 0.00135068 0.001266715 0.00128925 0.001242895 0.001308605 0.00146631 0.001375435 0.001130105 0.00138307 0.00128813 0.00136675 0.00130089 0.001282305 0.001255525 0.00131393 0.00138842 0.00140569 0.00137251 0.0013762 0.00137358 0.00134909 0.001218895 0.00131435 0.001366025 0.00130809 0.0012997 0.001383655 0.00129704 0.001351255 0.00128451 0.001319495 0.001353295 0.001337245 0.001306725 0.00110312 0.00140127 0.001318315 0.001344095 0.001352205 0.00137189 0.0012948 0.00133027 0.00136245 0.00133337 0.00138628 0.00128347 0.001381835 0.0013154 0.001397715 0.0013681 0.00127611 0.00135907 0.00134298 0.00138893 0.001300745 0.00133276 0.001294705 0.00136165 0.00135338 0.00133274 0.00131757 0.000997905 0.001276255 0.0012665 0.00141453 0.001366255 0.00133372 0.001389145 0.0013689 0.001338805 0.00138479 0.00121802 0.001339405 0.00134164 0.001271325 0.00132688 0.00126079 0.00119498 0.001345455 0.00137524 0.001346875 0.00130251 0.001337375 0.001333545 0.001349095 0.001327265
