Run,Altitude,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,env_biome,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Tissue
SRR7222907,518 m,OTHER,85,264442990,PRJNA473221,SAMN09268180,Invertebrate,174553877,UNIVERSITY OF ALABAMA,2012-07-25,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129439,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL257,Upper Applegate Road,42.11843 N 123.08467 W,JDL257,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL257-OR11-2012--Bv,female,SRP149031,Thorax muscle
SRR7222908,518 m,OTHER,85,262815325,PRJNA473221,SAMN09268181,Invertebrate,177899938,UNIVERSITY OF ALABAMA,2012-07-25,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129438,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL258,Upper Applegate Road,42.11843 N 123.08467 W,JDL258,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL258-OR11-2012--Bv,female,SRP149031,Thorax muscle
SRR7222909,2247 m,OTHER,85,144364935,PRJNA473221,SAMN09268553,Invertebrate,95017911,UNIVERSITY OF ALABAMA,2015-07-18,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129437,USA,North America,USA:California,Illumina HiSeq 2000,JDL1275,"Hwy 168\, Sierra National Forest\, Huntington Lake",37.2023 N 119.21434 W,JDL1275,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL1275-CA15-2015--Bv,female,SRP149031,Thorax muscle
SRR7222910,2247 m,OTHER,85,96065895,PRJNA473221,SAMN09268552,Invertebrate,62715404,UNIVERSITY OF ALABAMA,2015-07-18,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129436,USA,North America,USA:California,Illumina HiSeq 2000,JDL1274,"Hwy 168\, Sierra National Forest\, Huntington Lake",37.2023 N 119.21434 W,JDL1274,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL1274-CA15-2015--Bv,female,SRP149031,Thorax muscle
SRR7222911,2797 m,OTHER,85,121895695,PRJNA473221,SAMN09268559,Invertebrate,79656223,UNIVERSITY OF ALABAMA,2015-06-22,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129435,USA,North America,USA:California,Illumina HiSeq 2000,JDL1890,"Kaiser Pass Rd\, Kaiser Pass Pullout",37.2915 N 119.10227 W,JDL1890,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL1890-CA29-2015--Bv,female,SRP149031,Thorax muscle
SRR7222912,2797 m,OTHER,85,156148400,PRJNA473221,SAMN09268558,Invertebrate,101943142,UNIVERSITY OF ALABAMA,2015-06-22,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129434,USA,North America,USA:California,Illumina HiSeq 2000,JDL1888,"Kaiser Pass Rd\, Kaiser Pass Pullout",37.2915 N 119.10227 W,JDL1888,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL1888-CA29-2015--Bv,female,SRP149031,Thorax muscle
SRR7222913,2797 m,OTHER,85,151730695,PRJNA473221,SAMN09268557,Invertebrate,99618927,UNIVERSITY OF ALABAMA,2015-06-22,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129433,USA,North America,USA:California,Illumina HiSeq 2000,JDL1887,"Kaiser Pass Rd\, Kaiser Pass Pullout",37.2915 N 119.10227 W,JDL1887,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL1887-CA29-2015--Bv,female,SRP149031,Thorax muscle
SRR7222914,2797 m,OTHER,85,106949210,PRJNA473221,SAMN09268556,Invertebrate,69124681,UNIVERSITY OF ALABAMA,2015-06-22,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129432,USA,North America,USA:California,Illumina HiSeq 2000,JDL1886,"Kaiser Pass Rd\, Kaiser Pass Pullout",37.2915 N 119.10227 W,JDL1886,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL1886-CA29-2015--Bv,female,SRP149031,Thorax muscle
SRR7222915,52 m,OTHER,85,134281640,PRJNA473221,SAMN09268726,Invertebrate,51064896,UNIVERSITY OF ALABAMA,2016-05-23,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129431,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL2884,Tumwater WA field of purple vetch and blackberry,46.9929 N 122.9199 W,JDL2884,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL2884-WA07-2016-D-Bv,female,SRP149031,Thorax muscle
SRR7222916,1299 m,OTHER,85,135479715,PRJNA473221,SAMN09268121,Invertebrate,51663404,UNIVERSITY OF ALABAMA,2016-07-31,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129430,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3072,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3072,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3072-WA16-2016--Bb,female,SRP149031,Thorax muscle
SRR7222917,1299 m,OTHER,85,118058030,PRJNA473221,SAMN09268120,Invertebrate,45373323,UNIVERSITY OF ALABAMA,2016-07-31,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129429,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3071,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3071,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3071-WA16-2016--Bb,female,SRP149031,Thorax muscle
SRR7222918,645 m,OTHER,85,175004205,PRJNA473221,SAMN09268403,Invertebrate,118364697,UNIVERSITY OF ALABAMA,2012-07-24,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129428,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL160,Siskiyou Blvd. X Walker Ave.,42.17953 N 122.67953 W,JDL160,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL160-OR06-2012--Bv,female,SRP149031,Thorax muscle
SRR7222919,681 m,OTHER,85,133800625,PRJNA473221,SAMN09268304,Invertebrate,82750005,UNIVERSITY OF ALABAMA,2013-07-04,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129427,USA,North America,USA:California,Illumina HiSeq 2000,JDL644,Hwy 174,39.13821 N 120.9657 W,JDL644,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL644-CA12-2013--Bv,female,SRP149031,Thorax muscle
SRR7222920,1299 m,OTHER,85,159213925,PRJNA473221,SAMN09268115,Invertebrate,59149133,UNIVERSITY OF ALABAMA,2016-07-31,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129426,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3066,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3066,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3066-WA16-2016--Bb,female,SRP149031,Thorax muscle
